epoch,lr-AdamW,step,train/loss_epoch,train/loss_step,train/mae,train/pearson,train/rmse,val/loss,val/mae,val/pearson,val/rmse
,0.0005,0,,,,,,,,,
0,,9,,17.152812957763672,,,,,,,
0,,19,,8.116023063659668,,,,,,,
0,,29,,4.4862470626831055,,,,,,,
0,,39,,5.902425765991211,,,,,,,
0,,49,,3.6102333068847656,,,,,,,
0,,59,,3.786982536315918,,,,,,,
0,,69,,2.7058067321777344,,,,,,,
0,,79,,5.175786972045898,,,,,,,
0,,89,,2.2427687644958496,,,,,,,
0,,99,,4.804312705993652,,,,,,,
0,,109,,4.890676975250244,,,,,,,
0,,119,,3.220189094543457,,,,,,,
0,,129,,2.2321505546569824,,,,,,,
0,,139,,2.792691707611084,,,,,,,
0,,149,,5.242340087890625,,,,,,,
0,,159,,4.3930134773254395,,,,,,,
0,,169,,1.4842603206634521,,,,,,,
0,,179,,2.2494258880615234,,,,,,,
0,,189,,3.6900455951690674,,,,,,,
0,,199,,4.667142868041992,,,,,,,
0,,209,,2.2308030128479004,,,,,,,
0,,219,,2.7369518280029297,,,,,,,
0,,229,,1.2344605922698975,,,,,,,
0,,239,,4.981289386749268,,,,,,,
0,,249,,1.4572827816009521,,,,,,,
0,,259,,4.439009666442871,,,,,,,
0,,269,,2.0053160190582275,,,,,,,
0,,279,,2.9647819995880127,,,,,,,
0,,289,,3.8226125240325928,,,,,,,
0,,299,,5.573246002197266,,,,,,,
0,,309,,3.295337200164795,,,,,,,
0,,319,,3.175482988357544,,,,,,,
0,,329,,4.05695104598999,,,,,,,
0,,339,,1.5955512523651123,,,,,,,
0,,349,,2.766827344894409,,,,,,,
0,,359,,5.544355392456055,,,,,,,
0,,369,,2.9149138927459717,,,,,,,
0,,379,,2.988150119781494,,,,,,,
0,,389,,2.740231513977051,,,,,,,
0,,399,,4.013548851013184,,,,,,,
0,,409,,4.257564067840576,,,,,,,
0,,419,,3.236706018447876,,,,,,,
0,,429,,2.056392192840576,,,,,,,
0,,437,,,,,,4.913100242614746,1.7866885662078857,0.2878304421901703,2.2165515422821045
0,,437,4.449822425842285,,1.6825478076934814,0.22827671468257904,2.1094601154327393,,,,
,0.0005,438,,,,,,,,,
1,,439,,4.389308452606201,,,,,,,
1,,449,,5.0985260009765625,,,,,,,
1,,459,,2.839871883392334,,,,,,,
1,,469,,6.3910112380981445,,,,,,,
1,,479,,1.3353887796401978,,,,,,,
1,,489,,4.530679702758789,,,,,,,
1,,499,,2.6291306018829346,,,,,,,
1,,509,,4.525468349456787,,,,,,,
1,,519,,3.3937764167785645,,,,,,,
1,,529,,6.766639232635498,,,,,,,
1,,539,,3.1034533977508545,,,,,,,
1,,549,,2.3395743370056152,,,,,,,
1,,559,,2.2340011596679688,,,,,,,
1,,569,,3.3512520790100098,,,,,,,
1,,579,,3.6782257556915283,,,,,,,
1,,589,,1.4124643802642822,,,,,,,
1,,599,,4.357621669769287,,,,,,,
1,,609,,7.00344705581665,,,,,,,
1,,619,,6.089223861694336,,,,,,,
1,,629,,6.39553165435791,,,,,,,
1,,639,,2.44395112991333,,,,,,,
1,,649,,4.983169078826904,,,,,,,
1,,659,,1.881808876991272,,,,,,,
1,,669,,4.138686180114746,,,,,,,
1,,679,,4.185920715332031,,,,,,,
1,,689,,5.1049909591674805,,,,,,,
1,,699,,3.0423660278320312,,,,,,,
1,,709,,2.182356834411621,,,,,,,
1,,719,,1.4671266078948975,,,,,,,
1,,729,,2.669335126876831,,,,,,,
1,,739,,2.786198616027832,,,,,,,
1,,749,,1.2780457735061646,,,,,,,
1,,759,,5.203080177307129,,,,,,,
1,,769,,3.0352447032928467,,,,,,,
1,,779,,2.9034266471862793,,,,,,,
1,,789,,5.756191253662109,,,,,,,
1,,799,,7.420853137969971,,,,,,,
1,,809,,2.3129935264587402,,,,,,,
1,,819,,8.854759216308594,,,,,,,
1,,829,,1.2431902885437012,,,,,,,
1,,839,,5.227527618408203,,,,,,,
1,,849,,0.8022178411483765,,,,,,,
1,,859,,4.7437286376953125,,,,,,,
1,,869,,2.32546329498291,,,,,,,
1,,875,,,,,,3.5871756076812744,1.4962495565414429,0.35530564188957214,1.893984079360962
1,,875,3.6564574241638184,,1.5323901176452637,0.3569706678390503,1.9121865034103394,,,,
,0.0005,876,,,,,,,,,
2,,879,,3.6961419582366943,,,,,,,
2,,889,,1.0670909881591797,,,,,,,
2,,899,,3.769320011138916,,,,,,,
2,,909,,5.177433013916016,,,,,,,
2,,919,,6.534214973449707,,,,,,,
2,,929,,5.624157428741455,,,,,,,
2,,939,,3.868885040283203,,,,,,,
2,,949,,1.4930071830749512,,,,,,,
2,,959,,3.62817645072937,,,,,,,
2,,969,,3.7408649921417236,,,,,,,
2,,979,,2.4835832118988037,,,,,,,
2,,989,,4.701531410217285,,,,,,,
2,,999,,5.51707649230957,,,,,,,
2,,1009,,2.4369993209838867,,,,,,,
2,,1019,,3.8022584915161133,,,,,,,
2,,1029,,5.145044326782227,,,,,,,
2,,1039,,5.932320594787598,,,,,,,
2,,1049,,5.370410919189453,,,,,,,
2,,1059,,4.8254876136779785,,,,,,,
2,,1069,,2.3707635402679443,,,,,,,
2,,1079,,6.57666015625,,,,,,,
2,,1089,,6.1180219650268555,,,,,,,
2,,1099,,1.351228952407837,,,,,,,
