epoch,lr-AdamW,step,test/loss,test/mae,test/pearson,test/rmse,train/loss_epoch,train/loss_step,train/mae,train/pearson,train/rmse,val/loss,val/mae,val/pearson,val/rmse
,0.0005,0,,,,,,,,,,,,,
0,,9,,,,,,10.868014335632324,,,,,,,
0,,19,,,,,,6.593992233276367,,,,,,,
0,,29,,,,,,5.631256103515625,,,,,,,
0,,39,,,,,,3.6594300270080566,,,,,,,
0,,49,,,,,,1.9633687734603882,,,,,,,
0,,59,,,,,,5.897027969360352,,,,,,,
0,,69,,,,,,2.095059633255005,,,,,,,
0,,79,,,,,,1.753443956375122,,,,,,,
0,,89,,,,,,4.0651326179504395,,,,,,,
0,,99,,,,,,10.399028778076172,,,,,,,
0,,109,,,,,,6.7809648513793945,,,,,,,
0,,119,,,,,,1.8540090322494507,,,,,,,
0,,129,,,,,,4.659503936767578,,,,,,,
0,,139,,,,,,1.6870964765548706,,,,,,,
0,,149,,,,,,4.595980167388916,,,,,,,
0,,159,,,,,,3.530867576599121,,,,,,,
0,,169,,,,,,5.977249622344971,,,,,,,
0,,179,,,,,,1.622818946838379,,,,,,,
0,,189,,,,,,2.7796506881713867,,,,,,,
0,,199,,,,,,0.8246128559112549,,,,,,,
0,,209,,,,,,6.855962753295898,,,,,,,
0,,219,,,,,,0.6527213454246521,,,,,,,
0,,229,,,,,,0.9952176213264465,,,,,,,
0,,239,,,,,,2.8927900791168213,,,,,,,
0,,249,,,,,,5.410958766937256,,,,,,,
0,,259,,,,,,2.2289175987243652,,,,,,,
0,,269,,,,,,6.339668273925781,,,,,,,
0,,279,,,,,,3.079674243927002,,,,,,,
0,,289,,,,,,1.331437110900879,,,,,,,
0,,299,,,,,,2.807353973388672,,,,,,,
0,,309,,,,,,2.2474310398101807,,,,,,,
0,,319,,,,,,3.6702535152435303,,,,,,,
0,,329,,,,,,6.8380656242370605,,,,,,,
0,,339,,,,,,2.9916155338287354,,,,,,,
0,,349,,,,,,4.026690483093262,,,,,,,
0,,359,,,,,,1.607011079788208,,,,,,,
0,,369,,,,,,1.2233927249908447,,,,,,,
0,,379,,,,,,2.8356575965881348,,,,,,,
0,,389,,,,,,3.801936626434326,,,,,,,
0,,399,,,,,,3.934258222579956,,,,,,,
0,,409,,,,,,1.9693603515625,,,,,,,
0,,419,,,,,,1.0986268520355225,,,,,,,
0,,429,,,,,,2.0644028186798096,,,,,,,
0,,437,,,,,,,,,,3.837959051132202,1.558430552482605,0.20919577777385712,1.9590709209442139
0,,437,,,,,4.702724933624268,,1.7072339057922363,0.14844954013824463,2.168576717376709,,,,
,0.0005,438,,,,,,,,,,,,,
1,,439,,,,,,3.4208180904388428,,,,,,,
1,,449,,,,,,1.9197990894317627,,,,,,,
1,,459,,,,,,2.157805919647217,,,,,,,
1,,469,,,,,,4.946952819824219,,,,,,,
1,,479,,,,,,1.829788088798523,,,,,,,
1,,489,,,,,,2.227550506591797,,,,,,,
1,,499,,,,,,2.5726399421691895,,,,,,,
1,,509,,,,,,3.386265993118286,,,,,,,
1,,519,,,,,,2.6530933380126953,,,,,,,
1,,529,,,,,,5.683231353759766,,,,,,,
1,,539,,,,,,3.511401891708374,,,,,,,
1,,549,,,,,,4.374074935913086,,,,,,,
1,,559,,,,,,4.72475528717041,,,,,,,
1,,569,,,,,,1.9459178447723389,,,,,,,
1,,579,,,,,,1.9212796688079834,,,,,,,
1,,589,,,,,,4.537362098693848,,,,,,,
1,,599,,,,,,1.3606948852539062,,,,,,,
1,,609,,,,,,2.6285459995269775,,,,,,,
1,,619,,,,,,5.174483776092529,,,,,,,
1,,629,,,,,,7.831273078918457,,,,,,,
1,,639,,,,,,0.6054710149765015,,,,,,,
1,,649,,,,,,4.775350570678711,,,,,,,
1,,659,,,,,,0.8434785604476929,,,,,,,
1,,669,,,,,,3.5091660022735596,,,,,,,
1,,679,,,,,,4.470157623291016,,,,,,,
1,,689,,,,,,5.043137073516846,,,,,,,
1,,699,,,,,,2.5960288047790527,,,,,,,
1,,709,,,,,,2.8826754093170166,,,,,,,
1,,719,,,,,,2.632810115814209,,,,,,,
1,,729,,,,,,1.1713228225708008,,,,,,,
1,,739,,,,,,3.383610248565674,,,,,,,
1,,749,,,,,,2.9102518558502197,,,,,,,
1,,759,,,,,,4.927671432495117,,,,,,,
1,,769,,,,,,4.200252532958984,,,,,,,
1,,779,,,,,,2.455960750579834,,,,,,,
1,,789,,,,,,1.5859501361846924,,,,,,,
1,,799,,,,,,2.938293218612671,,,,,,,
1,,809,,,,,,2.182805061340332,,,,,,,
1,,819,,,,,,3.272128105163574,,,,,,,
1,,829,,,,,,6.455977439880371,,,,,,,
1,,839,,,,,,2.921055316925049,,,,,,,
1,,849,,,,,,4.911195278167725,,,,,,,
1,,859,,,,,,3.281106948852539,,,,,,,
1,,869,,,,,,4.157313346862793,,,,,,,
1,,875,,,,,,,,,,3.8298776149749756,1.5447330474853516,0.283804327249527,1.9570072889328003
