epoch,lr-Adam,step,train/graph_label/accuracy,train/graph_label/f1_max,train/graph_label/f1_score,train/logit/graph_embedding_avg,train/logit/graph_embedding_avgmag,train/logit/graph_embedding_std,train/logit/graph_label_avg,train/logit/graph_label_avgmag,train/logit/graph_label_std,train/logit/node_embedding_avg,train/logit/node_embedding_avgmag,train/logit/node_embedding_std,train/loss/graph_label,train/loss/total,val/graph_label/accuracy,val/graph_label/f1_max,val/graph_label/f1_score,val/logit/graph_embedding_avg,val/logit/graph_embedding_avgmag,val/logit/graph_embedding_std,val/logit/graph_label_avg,val/logit/graph_label_avgmag,val/logit/graph_label_std,val/logit/node_embedding_avg,val/logit/node_embedding_avgmag,val/logit/node_embedding_std,val/loss/graph_label,val/loss/total
,0.0001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0001,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,49,0.09375,0.13636364042758942,0.021475257351994514,0.46956920623779297,14.393475532531738,21.546241760253906,-0.0025006686337292194,0.297721266746521,0.44021883606910706,0.003425949951633811,0.12318875640630722,0.1602044701576233,6.326583385467529,6.326583385467529,,,,,,,,,,,,,,
,0.0001,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,99,0.21875,0.29230770468711853,0.044586896896362305,-0.4642478823661804,14.180557250976562,21.436208724975586,-0.004898075480014086,0.35215526819229126,0.5231501460075378,-0.0039002185221761465,0.13833725452423096,0.17717832326889038,5.399476051330566,5.399476051330566,,,,,,,,,,,,,,
,0.0001,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,149,0.125,0.1463414579629898,0.05588235333561897,-0.9099628925323486,25.719207763671875,36.97797775268555,-0.007285623345524073,0.40411853790283203,0.6143677234649658,-0.004784557968378067,0.1517428159713745,0.19035916030406952,5.8148393630981445,5.8148393630981445,,,,,,,,,,,,,,
,0.0001,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,199,0.25,0.3416801393032074,0.07904762029647827,0.5065980553627014,25.181739807128906,38.3270378112793,-0.009606512263417244,0.4547276496887207,0.6982995867729187,0.0028110200073570013,0.1572723388671875,0.2026192992925644,5.292821407318115,5.292821407318115,,,,,,,,,,,,,,
,0.0001,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,249,0.15625,0.18918918073177338,0.05721966177225113,0.6471859216690063,20.329723358154297,30.513288497924805,-0.011757533997297287,0.5101671814918518,0.7793502807617188,0.004535688553005457,0.16153661906719208,0.20651216804981232,5.015953063964844,5.015953063964844,,,,,,,,,,,,,,
,0.0001,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,299,0.21875,0.25823408365249634,0.10700280219316483,0.31510964035987854,27.397281646728516,37.943817138671875,-0.01350085437297821,0.5549556612968445,0.8451048731803894,0.0017251536482945085,0.1695980429649353,0.21527917683124542,4.861151218414307,4.861151218414307,,,,,,,,,,,,,,
,0.0001,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,349,0.28125,0.34080129861831665,0.1209077462553978,-0.7761359810829163,26.159740447998047,39.9354362487793,-0.01500987634062767,0.5801033973693848,0.9012525081634521,-0.004637974314391613,0.17707310616970062,0.22415708005428314,4.57793664932251,4.57793664932251,,,,,,,,,,,,,,
0,,384,,,,,,,,,,,,,,,0.09557774662971497,0.15346702933311462,0.016247591003775597,-0.6740218997001648,28.576080322265625,41.517723083496094,-0.047479432076215744,0.6287636160850525,0.966507077217102,-0.003724096342921257,0.17447470128536224,0.22309742867946625,5.5117058753967285,5.5117058753967285
