epoch,lr-AdamW,step,test/loss,test/mae,test/pearson,test/rmse,train/loss_epoch,train/loss_step,train/mae,train/pearson,train/rmse,val/loss,val/mae,val/pearson,val/rmse
,0.0005,0,,,,,,,,,,,,,
0,,9,,,,,,11.27978515625,,,,,,,
0,,19,,,,,,5.445818901062012,,,,,,,
0,,29,,,,,,2.864652156829834,,,,,,,
0,,39,,,,,,4.41979455947876,,,,,,,
0,,49,,,,,,0.2673325538635254,,,,,,,
0,,59,,,,,,2.4065117835998535,,,,,,,
0,,69,,,,,,3.1770401000976562,,,,,,,
0,,79,,,,,,2.4975075721740723,,,,,,,
0,,89,,,,,,7.809196949005127,,,,,,,
0,,99,,,,,,4.501673698425293,,,,,,,
0,,109,,,,,,3.134410858154297,,,,,,,
0,,119,,,,,,7.687099933624268,,,,,,,
0,,129,,,,,,3.0127110481262207,,,,,,,
0,,139,,,,,,2.7429540157318115,,,,,,,
0,,149,,,,,,6.897710800170898,,,,,,,
0,,159,,,,,,7.861510276794434,,,,,,,
0,,169,,,,,,2.5121586322784424,,,,,,,
0,,179,,,,,,5.422466278076172,,,,,,,
0,,189,,,,,,1.2873458862304688,,,,,,,
0,,199,,,,,,1.9340146780014038,,,,,,,
0,,209,,,,,,3.928530216217041,,,,,,,
0,,219,,,,,,2.5262019634246826,,,,,,,
0,,229,,,,,,3.2837772369384766,,,,,,,
0,,239,,,,,,5.253251552581787,,,,,,,
0,,249,,,,,,9.807297706604004,,,,,,,
0,,259,,,,,,3.9626150131225586,,,,,,,
0,,269,,,,,,4.400853157043457,,,,,,,
0,,279,,,,,,3.7886428833007812,,,,,,,
0,,289,,,,,,0.3614337146282196,,,,,,,
0,,299,,,,,,1.693190574645996,,,,,,,
0,,309,,,,,,3.157982349395752,,,,,,,
0,,319,,,,,,3.0053064823150635,,,,,,,
0,,329,,,,,,1.8925554752349854,,,,,,,
0,,339,,,,,,3.8081772327423096,,,,,,,
0,,349,,,,,,3.8625569343566895,,,,,,,
0,,359,,,,,,1.780555009841919,,,,,,,
0,,369,,,,,,4.764204025268555,,,,,,,
0,,379,,,,,,10.2052001953125,,,,,,,
0,,389,,,,,,3.6910855770111084,,,,,,,
0,,399,,,,,,3.5695419311523438,,,,,,,
0,,409,,,,,,4.462864398956299,,,,,,,
0,,419,,,,,,3.4317593574523926,,,,,,,
0,,429,,,,,,1.9222278594970703,,,,,,,
0,,437,,,,,,,,,,3.8656156063079834,1.5627388954162598,0.2257772982120514,1.9661169052124023
0,,437,,,,,4.497644424438477,,1.6743948459625244,0.21262867748737335,2.120764970779419,,,,
,0.0005,438,,,,,,,,,,,,,
1,,439,,,,,,2.099451780319214,,,,,,,
1,,449,,,,,,5.181757926940918,,,,,,,
1,,459,,,,,,2.2933783531188965,,,,,,,
1,,469,,,,,,1.441361665725708,,,,,,,
1,,479,,,,,,4.913392066955566,,,,,,,
1,,489,,,,,,2.0749263763427734,,,,,,,
1,,499,,,,,,6.064061164855957,,,,,,,
1,,509,,,,,,2.783621311187744,,,,,,,
1,,519,,,,,,2.4508962631225586,,,,,,,
1,,529,,,,,,2.0041699409484863,,,,,,,
1,,539,,,,,,8.155800819396973,,,,,,,
1,,549,,,,,,2.6445910930633545,,,,,,,
1,,559,,,,,,2.959285020828247,,,,,,,
